Observable,Value,ID,Time
Act. receptor conc. Amount 1,2.481785731891185,276,25
Act. receptor conc. Amount 1,0.43788304638299524,277,1
Act. receptor conc. Amount 1,1.588979723311257,278,5
Act. receptor conc. Amount 1,2.1351875656788204,279,10
Act. receptor conc. Amount 1,2.75077835060314,280,15
Act. receptor conc. Amount 1,2.643904481928924,281,20
Act. receptor conc. Amount 1,2.7052606881729844,282,25
Act. receptor conc. Amount 1,0.4521999885184494,283,1
Act. receptor conc. Amount 1,1.62506695240836,284,5
Act. receptor conc. Amount 1,2.5361620667969373,285,10
Act. receptor conc. Amount 1,2.5416782404757923,286,15
Act. receptor conc. Amount 1,2.7105695383298483,287,20
Act. receptor conc. Amount 1,2.8953216660682877,288,25
Act. receptor conc. Amount 1,0.4046534643967531,289,1
Act. receptor conc. Amount 1,1.5227734519251515,290,5
Act. receptor conc. Amount 1,2.3541171519102733,291,10
Act. receptor conc. Amount 1,2.669836972971443,292,15
Act. receptor conc. Amount 1,2.741220401001494,293,20
Act. receptor conc. Amount 1,2.6644232300346897,294,25
Act. receptor conc. Amount 1,0.45470681942583346,295,1
Act. receptor conc. Amount 1,1.87156131285351,296,5
Act. receptor conc. Amount 1,2.4977881354571996,297,10
Act. receptor conc. Amount 1,2.535430532092295,298,15
Act. receptor conc. Amount 1,2.5487546815898554,299,20
Act. receptor conc. Amount 1,2.56721949331522,300,25
Act. receptor conc. Amount 1,0.3963734486355411,301,1
Act. receptor conc. Amount 1,1.4610590591620107,302,5
Act. receptor conc. Amount 1,2.442191283286506,303,10
Act. receptor conc. Amount 1,2.3766614526663714,304,15
Act. receptor conc. Amount 1,2.8251794708571225,305,20
Act. receptor conc. Amount 1,2.881715308958159,306,25
Act. receptor conc. Amount 1,0.4232165024263461,307,1
Act. receptor conc. Amount 1,1.7039179259092545,308,5
Act. receptor conc. Amount 1,2.491330964927508,309,10
Act. receptor conc. Amount 1,2.5303880690082754,310,15
Act. receptor conc. Amount 1,2.8842011934349117,311,20
Act. receptor conc. Amount 1,2.976185856359174,312,25
Act. receptor conc. Amount 1,0.40413700368975053,313,1
Act. receptor conc. Amount 1,1.5367228785715652,314,5
Act. receptor conc. Amount 1,2.3469466950845512,315,10
Act. receptor conc. Amount 1,2.8086955209718645,316,15
Act. receptor conc. Amount 1,2.52989185507589,317,20
Act. receptor conc. Amount 1,2.936975701763201,318,25
Act. receptor conc. Amount 1,0.41526367363587496,319,1
